cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,5,3
scene_appearance,aesthetic_qualities,minimal,3,3
scene_appearance,aesthetic_qualities,realistic,12,3
scene_appearance,color_temperature,cool,9,3
scene_appearance,color_temperature,neutral,4,3
scene_appearance,color_temperature,warm,1,3
scene_appearance,dominant_colors,black,1,2
scene_appearance,dominant_colors,brown,9,2
scene_appearance,dominant_colors,black,1,2
scene_appearance,dominant_colors,brown,9,2
scene_appearance,mood,calm,18,2
scene_appearance,mood,minimalistic,1,2
camera,depth_of_field,deep,13,3
camera,depth_of_field,moderate,5,3
camera,depth_of_field,shallow,11,3
camera,framing,establishing,5,3
camera,framing,medium,9,3
camera,framing,wide,11,3
camera,perspective,eye level,23,1
objects,type,book like,1,16
objects,type,chair,8,16
objects,type,desktop accessory,1,16
objects,type,dishware,1,16
objects,type,glassware,1,16
objects,type,mug,1,16
objects,type,notebook,2,16
objects,type,office chair,27,16
objects,type,paper,3,16
objects,type,paperwork,1,16
objects,type,plant,4,16
objects,type,table,8,16
objects,type,table port,1,16
objects,type,tabletop,1,16
objects,type,tableware,1,16
objects,type,window,4,16
people,age_range,middle aged,33,3
people,age_range,older adult,3,3
people,age_range,young adult,11,3
people,clothing_color,black,6,6
people,clothing_color,blue,18,6
people,clothing_color,gray,2,6
people,clothing_color,pink,1,6
people,clothing_color,white,9,6
people,clothing_color,black,13,6
people,clothing_color,blue,29,6
people,clothing_color,gray,16,6
people,clothing_color,red,2,6
people,clothing_color,white,16,6
people,eyewear_present,no,34,2
people,eyewear_present,yes,13,2
people,eyewear_type,eyeglasses,1,4
people,eyewear_type,prescription,1,4
people,eyewear_type,rectangular glasses,7,4
people,eyewear_type,thin framed glasses,4,4
people,hair_color,black,9,7
people,hair_color,dark blue,1,7
people,hair_color,gray,1,7
people,facial_hair_present,no,33,2
people,facial_hair_present,yes,12,2
people,facial_hair_style,light stubble,1,4
people,facial_hair_style,stubble,1,4
people,facial_hair_style,trimmed beard,6,4
people,facial_hair_style,trimmed stubble,3,4
people,gender_presentation,female,12,2
people,gender_presentation,male,40,2
people,hair_color,black,12,7
people,hair_color,brown,22,7
people,hair_color,gray,16,7
people,hair_color,maroon,1,7
people,hair_color,pink,2,7
people,hair_color,white,1,7
people,hair_present,yes,51,1
people,hair_style,long,9,5
people,hair_style,shaved,1,5
people,hair_style,short,38,5
people,hair_style,straight,8,5
people,hair_style,wavy,1,5
people,head_covering_present,no,51,1
people,skin_tone,light,45,2
people,skin_tone,medium,6,2
