cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,38,6
scene_appearance,aesthetic_qualities,dreamy,3,6
scene_appearance,aesthetic_qualities,quality cinematic,6,6
scene_appearance,aesthetic_qualities,quality dreamy,3,6
scene_appearance,aesthetic_qualities,quality realistic,8,6
scene_appearance,aesthetic_qualities,realistic,36,6
scene_appearance,color_temperature,cool,5,3
scene_appearance,color_temperature,warm,39,3
scene_appearance,dominant_colors,brown,30,1
scene_appearance,mood,calm,60,2
scene_appearance,mood,joyful,1,2
scene_appearance,wall_color,brown,10,1
scene_appearance,color_temperature,neutral,1,3
scene_appearance,color_temperature,warm,8,3
camera,depth_of_field,deep,4,3
camera,depth_of_field,moderate,2,3
camera,depth_of_field,shallow,51,3
camera,framing,close up,7,6
camera,framing,establishing,8,6
camera,framing,full body,3,6
camera,framing,headshot,4,6
camera,framing,medium,51,6
camera,framing,wide,6,6
camera,perspective,eye level,43,2
camera,perspective,low angle,5,2
objects,type,distant trees roofs,1,44
objects,type,long handled shovel,1,44
objects,type,planted rows,38,44
objects,type,straw hat,5,44
objects,type,work boots,1,44
objects,type,work gloves,4,44
objects,type,work pants,1,44
objects,type,armchair,1,44
objects,type,book,14,44
objects,type,bookcase,47,44
objects,type,bookshelf,3,44
objects,type,boots,2,44
objects,type,bowls,1,44
objects,type,container,1,44
objects,type,couch,4,44
objects,type,decorative bowl,1,44
objects,type,farm tractor,1,44
objects,type,fence,2,44
objects,type,glass jars,2,44
objects,type,hanging potted plant,1,44
objects,type,hat,13,44
objects,type,labeled cylindrical container,1,44
objects,type,multi pane window,2,44
objects,type,open storage shelf,1,44
objects,type,plant,14,44
objects,type,plant bundle,1,44
objects,type,pole,1,44
objects,type,potted houseplant,1,44
objects,type,potted leafy plant,1,44
objects,type,potted plant,9,44
objects,type,rectangular multi pane,1,44
objects,type,rubber boots,1,44
objects,type,shelf,6,44
objects,type,shoe,1,44
objects,type,sofa,17,44
objects,type,straw cowboy hat,1,44
objects,type,straw hat,2,44
objects,type,table,4,44
objects,type,tree canopies,1,44
objects,type,tree clump,1,44
objects,type,wicker baskets,1,44
objects,type,window,12,44
objects,type,window array,1,44
objects,type,wooden utensils,1,44
objects,type,woven baskets,2,44
people,activities,gathering soil,1,16
people,activities,handling soil,1,16
people,activities,hands resting or gathering straw,1,16
people,activities,holding bag,1,16
people,activities,holding tool,1,16
people,activities,holding soil clump,1,16
people,activities,holding straw bundle,2,16
people,activities,inspecting soil,2,16
people,activities,letting soil fall,1,16
people,activities,looking toward camera,3,16
people,activities,manipulating plants,1,16
people,activities,planting,4,16
people,activities,resting,1,16
people,activities,sifting breaking clods,1,16
people,activities,handling soil,1,16
people,activities,supporting produce,1,16
people,activities,tending crops,1,16
people,age_range,middle aged,13,2
people,age_range,older adult,36,2
people,clothing_color,beige,1,12
people,clothing_color,black,13,12
people,clothing_color,blue,25,12
people,clothing_color,brown,14,12
people,clothing_color,gray,13,12
people,clothing_color,green,1,12
people,clothing_color,palegreen,1,12
people,clothing_color,red,3,12
people,clothing_color,tan,5,12
people,clothing_color,tomato,1,12
people,clothing_color,white,4,12
people,clothing_color,yellow,1,12
people,clothing_garment,apron,1,10
people,clothing_garment,belt,1,10
