cohort,dimension,label,count
atmosphere,aesthetic_qualities,cinematic,6
atmosphere,aesthetic_qualities,dreamy,4
atmosphere,aesthetic_qualities,minimal,1
atmosphere,aesthetic_qualities,realistic,6
atmosphere,contrast_level,medium,7
atmosphere,dominant_palette,black,2
atmosphere,dominant_palette,brown,8
atmosphere,lighting_profile_aesthetic_qualities,cinematic,6
atmosphere,lighting_profile_aesthetic_qualities,dreamy,4
atmosphere,lighting_profile_aesthetic_qualities,minimal,1
atmosphere,lighting_profile_aesthetic_qualities,realistic,6
atmosphere,lighting_profile_color_temperature,neutral,3
atmosphere,lighting_profile_color_temperature,warm,4
atmosphere,mood,calm,10
atmosphere,mood,joyful,1
atmosphere,palette,black,2
atmosphere,palette,brown,8
atmosphere,saturation_level,neutral,2
atmosphere,saturation_level,vivid,5
background,object_counts_by_position,background center,10
background,object_counts_by_position,background left,7
background,object_counts_by_position,background right,13
background,object_counts_by_position,foreground center,20
background,object_counts_by_position,foreground left,15
background,object_counts_by_position,foreground right,10
background,object_counts_by_position,midground center,20
background,object_counts_by_position,midground left,16
background,object_counts_by_position,midground right,13
camera,crop,forearms near lower frame,1
camera,crop,full body above knees head,1
camera,crop,lower body cropped,1
camera,crop,lower body out of frame,1
camera,crop,lower legs feet cropped,1
camera,crop,top head near upper frame,1
camera,depth_of_field,shallow,16
camera,focal_length,telephoto,2
camera,framing,establishing,1
camera,framing,full body,2
camera,framing,headshot,1
camera,framing,medium,7
camera,framing,wide,2
camera,perspective,eye level,16
camera,perspective,unknown,0
environment,indoor_outdoor,unknown,10
environment,location_type,bedroom,2
environment,location_type,kitchen,3
environment,location_type,residential kitchen,3
environment,location_type,unknown,2
environment,openness,compact,1
environment,openness,enclosed,1
environment,openness,moderately open,1
environment,openness,open layout,2
environment,openness,semi open,1
environment,openness,unknown,1
environment,spatial_layout,compact,1
environment,spatial_layout,enclosed,1
environment,spatial_layout,moderate depth,6
environment,spatial_layout,moderately open,1
environment,spatial_layout,open,2
environment,spatial_layout,semi open,1
environment,spatial_layout,shallow,1
environment,spatial_layout,shallow moderate,1
environment,spatial_layout,unknown,1
