cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,3,3
scene_appearance,aesthetic_qualities,minimal,2,3
scene_appearance,aesthetic_qualities,realistic,15,3
scene_appearance,dominant_colors,black,5,4
scene_appearance,dominant_colors,brown,2,4
scene_appearance,dominant_colors,cyan,1,4
scene_appearance,dominant_colors,medium blue,2,4
scene_appearance,mood,calm,18,2
scene_appearance,mood,minimalistic,5,2
scene_appearance,color_temperature,cool,9,3
scene_appearance,color_temperature,neutral,5,3
scene_appearance,color_temperature,warm,2,3
camera,depth_of_field,deep,6,3
camera,depth_of_field,moderate,3,3
camera,depth_of_field,shallow,16,3
camera,framing,establishing shot,5,4
camera,framing,full body,11,4
camera,framing,medium,3,4
camera,framing,wide,10,4
camera,perspective,eye level,21,3
camera,perspective,low angle,2,3
camera,perspective,third person,2,3
objects,type,arched windows series,1,12
objects,type,broom head,1,12
objects,type,cabinet,1,12
objects,type,door,4,12
objects,type,door frames,8,12
objects,type,emergency sign,1,12
objects,type,handrail,3,12
objects,type,mop,22,12
objects,type,push brooming,3,12
objects,type,safety sign,6,12
objects,type,stainless tubular handrail,2,12
objects,type,wheeled container,1,12
people,activities,mopping,9,3
people,activities,pushing,1,3
people,activities,holding mop,2,3
people,age_range,middle aged,17,3
people,age_range,older adult,1,3
people,age_range,young adult,1,3
people,clothing_color,black,25,9
people,clothing_color,blue,37,9
people,clothing_color,brown,1,9
people,clothing_color,gray,5,9
people,clothing_color,green,9,9
people,clothing_color,orange,5,9
people,clothing_color,tan,1,9
people,clothing_color,white,4,9
people,clothing_color,yellow,8,9
people,clothing_garment,face mask,1,8
people,clothing_garment,high visibility safety vest,2,8
people,clothing_garment,overalls,4,8
people,clothing_garment,safety vest,2,8
people,clothing_garment,shirt,14,8
people,clothing_garment,shoes,5,8
people,clothing_garment,trousers,4,8
people,clothing_garment,work gloves,17,8
people,eyewear_present,no,15,2
people,eyewear_present,yes,1,2
people,facial_hair_present,no,5,2
people,facial_hair_present,yes,4,2
people,gaze_direction,down,15,2
people,gaze_direction,up,1,2
people,gender_presentation,female,1,2
people,gender_presentation,male,21,2
people,hair_color,black,19,3
people,hair_color,brown,4,3
people,hair_color,gray,11,3
people,hair_present,yes,19,1
people,hair_style,curly,1,2
people,hair_style,short,17,2
people,head_covering_type,blue,4,6
people,head_covering_type,orange,1,6
people,head_covering_present,no,8,2
people,head_covering_present,yes,13,2
people,head_covering_type,baseball cap,4,6
people,head_covering_type,brimmed cap,1,6
people,head_covering_type,cap,7,6
people,head_covering_type,hard hat,1,6
people,pose,leaning,2,2
people,pose,leaning,5,2
people,pose,standing,2,2
people,pose,standing,1,2
people,pose,leaning,8,2
people,pose,leaning,2,2
people,pose,leaning,4,2
people,pose,leaning,1,2
people,pose,standing,1,2
people,pose,standing,1,2
people,pose,standing,4,2
people,pose,standing,1,2
people,skin_tone,dark,1,3
people,skin_tone,light,3,3
people,skin_tone,medium,18,3
