,cohort,dimension,label,canonical_label
1,people,accessories,badge,badge
2,people,accessories,bag,bag
3,people,accessories,belt,belt
4,people,accessories,bracelet,bracelet
5,people,accessories,earrings,earring
6,people,accessories,gloves,glove
7,people,accessories,headphones,headphone
8,people,accessories,jewelry,jewelry
9,people,accessories,mask,mask
10,people,accessories,medical,medical
11,people,accessories,necklace,necklace
12,people,accessories,safety_gear,gear
13,people,accessories,scarf,scarf
14,people,accessories,tie,tie
15,people,accessories,tool,tool
16,people,accessories,watch,watch
17,people,activities,acting,acting
18,people,activities,addressing_bench,bench
19,people,activities,addressing_table,table
20,people,activities,adjusting,adjusting
21,people,activities,adjusting a valve,valve
22,people,activities,adjusting camera,camera
23,people,activities,adjusting controls,control
24,people,activities,adjusting equipment,equipment
25,people,activities,adjusting faucet,faucet
26,people,activities,adjusting glassware,glassware
27,people,activities,adjusting instrument,instrument
28,people,activities,adjusting IV,iv
29,people,activities,adjusting lathe,lathe
30,people,activities,adjusting light,light
31,people,activities,adjusting machine,machine
32,people,activities,adjusting part,part
33,people,activities,adjusting slide,slide
34,people,activities,adjusting tripod,tripod
35,people,activities,adjusting vials,vial
36,people,activities,adjusting_light,light
37,people,activities,adjusting_tie,tie
38,people,activities,administering care,care
39,people,activities,administering inhaler,inhaler
40,people,activities,advancing,advancing
41,people,activities,aiming hose,hose
42,people,activities,analyzing charts,chart
43,people,activities,answering,answering
44,people,activities,answering questions,question
45,people,activities,answering_phone,phone
46,people,activities,applying dressing,dressing
47,people,activities,applying ointment,ointment
48,people,activities,applying sanitizer,sanitizer
49,people,activities,approaching desk,desk
50,people,activities,approaching fire,fire
51,people,activities,arms_crossed,arm
52,people,activities,arms_folded,arm
53,people,activities,arranging,arranging
54,people,activities,arranging basket,basket
55,people,activities,arranging cookies,cookie
56,people,activities,arranging papers,paper
57,people,activities,arranging plants,plant
58,people,activities,arranging plate,plate
59,people,activities,arranging produce,produce
60,people,activities,arranging_fabric,fabric
61,people,activities,arranging_produce,produce
62,people,activities,asking_question,question
63,people,activities,assembling,assembling
64,people,activities,assessing fire,fire
65,people,activities,assisting,assisting
66,people,activities,assisting airway,assisting
67,people,activities,assisting guest,assisting
68,people,activities,at_desk,desk
69,people,activities,bagging,bagging
70,people,activities,baking,baking
71,people,activities,being carried,carried
72,people,activities,being examined,examined
73,people,activities,being_interviewed,interview
74,people,activities,being_operated,operated
75,people,activities,bending,bending
76,people,activities,blocking traffic,blocking
77,people,activities,brewing,brewer
78,people,activities,browsing,browsing
79,people,activities,browsing groceries,browsing
80,people,activities,browsing produce,browsing
81,people,activities,browsing shelves,browsing
82,people,activities,browsing_shelves,browsing
83,people,activities,calling out,calling
84,people,activities,carrying,carrying
85,people,activities,carrying backpack,carrying
86,people,activities,carrying bag,carrying
87,people,activities,carrying basket,carrying
88,people,activities,carrying box,carrying
89,people,activities,carrying crate,carrying
90,people,activities,carrying rifle,carrying
91,people,activities,carrying suitcase,carrying
92,people,activities,carrying tray,carrying
93,people,activities,carrying_bag,carrying
94,people,activities,carrying_bags,carrying
95,people,activities,carrying_equipment,carrying
96,people,activities,carrying_plate,carrying
97,people,activities,carving,carving
98,people,activities,checking inventory,checking
99,people,activities,checking list,checking
100,people,activities,checking patient,checking
101,people,activities,checking phone,checking
102,people,activities,checking tickets,checking
103,people,activities,checking time,checking
104,people,activities,checking_device,checking
105,people,activities,checking_patient,checking
106,people,activities,checking_phone,checking
107,people,activities,checking_wrist,checking
108,people,activities,chiseling,chiseling
109,people,activities,choosing vegetables,choosing
110,people,activities,chopping,chopping
111,people,activities,clapping,clapping
