cohort,standardized_dimension,standardized_label,count,bins
scene_appearance,aesthetic_qualities,cinematic,36,4
scene_appearance,aesthetic_qualities,dreamy,22,4
scene_appearance,aesthetic_qualities,minimal,2,4
scene_appearance,aesthetic_qualities,realistic,27,4
scene_appearance,color_temperature,warm,25,3
scene_appearance,dominant_colors,black,3,6
scene_appearance,dominant_colors,brown,47,6
scene_appearance,dominant_colors,lightgreen,11,6
scene_appearance,dominant_colors,mediumvioletred,11,6
scene_appearance,dominant_colors,orangered,1,6
scene_appearance,dominant_colors,red,5,6
scene_appearance,mood,calm,39,4
scene_appearance,mood,dramatic,18,4
scene_appearance,mood,melancholic,1,4
scene_appearance,mood,minimalistic,1,4
scene_appearance,color_temperature,cool,2,3
scene_appearance,color_temperature,neutral,2,3
scene_appearance,color_temperature,warm,19,3
camera,depth_of_field,deep,1,5
camera,depth_of_field,moderate,2,5
camera,depth_of_field,moderate dof,1,5
camera,depth_of_field,shallow,46,5
camera,depth_of_field,shallow dof,5,5
camera,framing,establishing shot,1,5
camera,framing,full body,27,5
camera,framing,headshot,1,5
camera,framing,medium,16,5
camera,framing,wide,7,5
camera,perspective,eye level,36,3
camera,perspective,low angle,5,3
camera,perspective,third person,3,3
objects,type,ballet barre,1,51
objects,type,bench,1,51
objects,type,bowl,3,51
objects,type,cabinet,6,51
objects,type,ceramic or glass cooktop,30,51
objects,type,container,9,51
objects,type,cookware,3,51
objects,type,cutting board,4,51
objects,type,doorway,1,51
objects,type,glass jar,4,51
objects,type,knife,1,51
objects,type,open wooden shelving,5,51
objects,type,plant,8,51
objects,type,plates,1,51
objects,type,pots and pans,1,51
objects,type,shelf unit,1,51
objects,type,storage jars,1,51
objects,type,stovetop,2,51
objects,type,tomatoes,7,51
objects,type,tree,2,51
objects,type,utensil rail,3,51
objects,type,window,9,51
objects,type,window mullion,1,51
objects,type,wooden cutting board,6,51
objects,type,bowl,1,51
objects,type,built microwave,1,51
objects,type,built oven,1,51
objects,type,cabinet,6,51
objects,type,ceramic bowl,8,51
objects,type,container,1,51
objects,type,cutting board,1,51
objects,type,faucet,1,51
objects,type,glass bowl,1,51
objects,type,glass carafe,1,51
objects,type,glass pitcher,1,51
objects,type,hanging cookware array,1,51
objects,type,kettle,2,51
objects,type,kitchen cabinet,35,51
objects,type,lamp,1,51
objects,type,matte black kettle,1,51
objects,type,microwave,1,51
objects,type,mixing bowl,1,51
objects,type,multi pane window,3,51
objects,type,open shelves sink,1,51
objects,type,paper towel roll,2,51
objects,type,pendant lamp,1,51
objects,type,plant,4,51
objects,type,potted plants,7,51
objects,type,sink group,1,51
objects,type,sink shelving,1,51
objects,type,sink shelving plant group,1,51
objects,type,small bowl or dish,1,51
objects,type,spice jars mug,1,51
objects,type,stainless steel extractor hood,1,51
objects,type,stovetop,1,51
objects,type,table lamp,1,51
objects,type,two door refrigerator,1,51
objects,type,utensil rail,1,51
objects,type,window,5,51
people,activities,planting,2,16
people,activities,balancing en pointe,1,16
people,activities,balancing en pointe,1,16
people,activities,balancing en pointe,1,16
people,activities,ballet pose,19,16
people,activities,en pointe extension,1,16
people,activities,interacting airflow,1,16
people,activities,leaping,1,16
people,activities,lifting skirt,1,16
people,activities,mid turn,1,16
people,activities,performing deep backbend,1,16
people,activities,performing under stage lights,1,16
people,activities,reaching extended foot,1,16
people,activities,rehearsal,1,16
people,activities,rehearsal,1,16
people,activities,rotation turn inferred,1,16
people,activities,skirt mid motion,1,16
people,activities,solo balance,1,16
people,activities,solo performance,1,16
people,age_range,child,1,3
people,age_range,teen,1,3
people,age_range,young adult,38,3
people,clothing_color,black,22,8
people,clothing_color,gray,3,8
people,clothing_color,mediumblue,1,8
people,clothing_color,pink,13,8
people,clothing_color,red,2,8
people,clothing_color,tan,4,8
people,clothing_color,white,10,8
people,clothing_color,yellow,1,8
people,eyewear_present,no,36,1
people,facial_hair_present,no,36,1
